id;IAGA;Name;Country;Institute;GIN;12.03.2018 00.00 Õ;H;Y;X
92;PAF;Port-aux-Francais;French Southern and Antarctic Lands;EOST;Par;10040,62;591;-49,35;109,74
93;PAG;Panagjurishte;Bulgaria;NIGGG-BAS, GFZ;Edi;23707,95;655;42,5;155,8
94;PEG;Pedeli;Greece;IGME;Edi;26444,5;867;38,1;156,1
95;PET;Paratunka;Russia;IKIR;Edi;21478,35;-55;52,97;21,75
96;PHU;Phuthuy;Vietnam;VAST, IPGP;Par;38813,17;318;21,03;74,05
97;PIL;Pilar;Argentina;SMN;Edi;19362,8;350;-31,4;-116,12
98;PPT;Pamatai;French Polynesia;IPGP;Par;29181,38;321;-17,57;-30,42
99;PST;Port Stanley;Falkland Islands;BGS;Edi;18208,3;432;-51,7;-122,11
100;RES;Resolute Bay;Canada;GSC;Ott;99999;632;74,69;-85,11
101;SBA;Scott Base;Antarctica;GNS;Edi;-10329,49;203;-77,85;13,22
102;SBL;Sable Island;Canada;BGS;Edi;20847,4;-41;43,93;-119,99
103;SFS;San Fernando;Spain;RIOA;Par;27607;394;36,67;-174,06
104;SHU;Shumagin;United States of America;USGS;Gol;19403,6;123;55,35;-19,54
105;SIT;Sitka;United States of America;USGS;Gol;14914,6;700;57,06;-44,67
106;SJG;San Juan;United States of America;USGS;Gol;26885,89;185;18,11;-113,85
107;SOD;Sodankyla;Finland;SOD;Edi;11051,8;652;67,37;153,37
108;SON;Sonmiani;Pakistan;SUPARCO;Edi;34611,6;365;25,12;113,55
109;SPG;Saint Petersburg;Russia;GCRAS;Par;14513,2;526;60,54;150,28
110;SPT;San Pablo-Toledo;Spain;IGNS;Par;26073,88;242;39,55;-175,65
111;STJ;St John's;Canada;GSC;Ott;18996,12;618;47,6;-127,32
112;SUA;Surlari;Romania;GIR, GFZ;Par;22598,79;-51;44,68;153,75
113;TAM;Tamanrasset;Algeria;CRAAG, IPGP;Par;33763,45;164;22,79;174,47
114;TDC;Tristan da Cunha;Tristan da Cunha;GFZ, DTU;Kyo;9323,14;834;-37,07;-167,69
115;TEO*;Teoloyucan;Mexico;IG/UNAM;Edi;27514,9;782;19,75;-80,81
116;THL;Qaanaaq (Thule);Greenland;DTU;Kyo;2865,3;468;77,47;-110,77
117;THY;Tihany;Hungary;MFGI;Edi;21529,48;38;46,9;162,11
118;TSU;Tsumeb;Namibia;SANSA;Edi;14201,4;248;-19,2;162,42
119;TUC;Tucson;United States of America;USGS;Gol;23951,2;264;32,18;-69,27
120;UPS;Uppsala;Sweden;SGU;Edi;15109,4;797;59,9;162,65
121;VAL;Valentia;Ireland;IMS;Edi;19509,4;727;51,93;-169,75
122;VIC;Victoria;Canada;GSC;Ott;18046,75;-59;48,52;-56,58
123;VNA;Neumayer Station ?;Antarctica;AWI, GFZ;Kyo;18079,07;524;-70,68;188,28
124;VOS;Vostok;Antarctica;AARI;Kyo;-7287;-75;-78,46;73,17
125;VSS;Vassouras;Brazil;ON, GFZ;Par;16690,04;535;-22,4;-136,35
126;WIC;Conrad Observatory;Austria;ZAMG;Edi;21009,89;9;47,93;164,13
127;WNG;Wingst;Germany;GFZ;Edi;18178,37;240;53,74;170,93
128;YAK;Yakutsk;Russia;IKFIA, GFZ;Edi;13385,6;372;61,96;50,34
129;YKC;Yellowknife;Canada;GSC;Ott;8948,36;450;62,48;-65,52
